MI,ADA,LIQUOR,,BRAND NAME,PROOF,SIZE,PACK,    BASE , LICENSEE , MINIMUM , NEW/ 
,#,CODE,,,,IN ML,SIZE,    PRICE , PRICE , SHELF , CHNG 
,,,,,,,,,, PRICE ,
AMERICAN BLEND,,,,,,,,,,,
,,,,,,,,,,,
,221,1664,,ARISTOCRAT BLENDED WHISKEY,80.0,1000,12, 7.32 , 6.95 , 8.19 ,
,221,16838,,AVERELL DAMSON GIN LIQUEUR,66.0,750,12, 22.54 , 21.41 , 25.24 ,
,221,17337,,BALCONES TEXAS SINGLE MALT,106.0,750,6, 62.49 , 59.37 , 69.99 ,
,321,127,,BANKER'S CLUB BLEND,80.0,750,12, 5.75 , 5.46 , 6.44 ,
,321,121,,BANKER'S CLUB BLEND,80.0,1000,12, 7.12 , 6.75 , 7.96 ,
,321,128,,BANKER'S CLUB BLEND,80.0,1750,6, 12.49 , 11.87 , 13.99 ,
,321,287,,BEAM'S 8 STAR BLEND,80.0,750,12, 6.24 , 5.93 , 6.99 ,
,321,89830,,BEAM'S 8 STAR BLEND,80.0,1000,12, 7.12 , 6.75 , 7.96 ,
,321,288,,BEAM'S 8 STAR BLEND,80.0,1750,6, 13.37 , 12.69 , 14.96 ,
,321,283,,BEAM'S 8 STAR BLEND PL,80.0,375,24, 3.20 , 3.05 , 3.59 ,
,141,17147,,BULL RUN CHINATO BARREL AGED,84.0,375,12, 44.62 , 42.37 , 49.96 ,
,321,987,,CALVERT EXTRA,80.0,750,12, 8.20 , 7.80 , 9.19 ,
,321,988,,CALVERT EXTRA,80.0,1750,6, 17.39 , 16.53 , 19.49 ,
,321,1507,,CARSTAIRS WHITE SEAL,80.0,750,12, 5.36 , 5.08 , 5.99 ,
,321,932,,CARSTAIRS WHITE SEAL,80.0,1000,12, 7.12 , 6.75 , 7.96 ,
,321,1508,,CARSTAIRS WHITE SEAL,80.0,1750,6, 11.61 , 11.02 , 12.99 ,
MI,141,17491,,DAVENPORT'S AMERICAN BLEND PL,80.0,50,60, 1.61 , 1.52 , 1.79 ,
MI,141,14009,,DAVENPORTS AMERICAN BLENDED,80.0,750,12, 16.95 , 16.11 , 18.99 ,
,321,16099,,EASY RIDER BOURBON WHISKEY,90.0,750,12, 24.93 , 23.69 , 27.93 ,
,321,2607,,FLEISCHMANN'S PREFERRED,80.0,750,12, 5.36 , 5.08 , 5.99 ,
,321,2608,,FLEISCHMANN'S PREFERRED,80.0,1750,6, 11.61 , 11.02 , 12.99 ,
,321,7380,,FLEISCHMANN'S PREFERRED PL,80.0,750,12, 5.36 , 5.08 , 5.99 ,
,321,18236,,FOUR QUEENS 101,101.0,750,12, 8.03 , 7.62 , 8.99 , NEW 
,321,3107,,G & W FIVE STAR,80.0,750,12, 5.80 , 5.50 , 6.49 ,
,321,3101,,G & W FIVE STAR,80.0,1000,12, 7.59 , 7.20 , 8.49 ,
,321,3108,,G & W FIVE STAR,80.0,1750,6, 12.49 , 11.87 , 13.99 ,
,321,93610,,G & W FIVE STAR PL,80.0,200,48, 2.10 , 1.98 , 2.34 ,
,321,3103,,G & W FIVE STAR PL,80.0,375,24, 3.30 , 3.13 , 3.69 ,
,321,3097,,G & W FIVE STAR PL,80.0,750,12, 5.80 , 5.50 , 6.49 ,
,321,16617,,GOLD BAR AMERICAN WHISKEY,80.0,50,48, 7.87 , 7.46 , 8.80 ,
,321,16618,,GOLD BAR AMERICAN WHISKEY,80.0,750,6, 35.69 , 33.91 , 39.98 ,
,321,16619,,GOLD BAR BLENDED WHISKEY,80.0,750,6, 35.69 , 33.91 , 39.98 ,
,221,3448,,GUCKENHEIMER PL,80.0,1750,6, 12.76 , 12.12 , 14.29 ,
,221,3628,,HALLER'S RESERVE PL,80.0,1750,6, 12.32 , 11.70 , 13.79 ,
,221,99780,,HEAVEN HILL BLEND,80.0,750,12, 5.97 , 5.68 , 6.69 ,
,221,3701,,HEAVEN HILL BLEND,80.0,1000,12, 7.34 , 6.96 , 8.21 ,
,221,3708,,HEAVEN HILL BLEND PL,80.0,1750,6, 12.49 , 11.87 , 13.99 ,
,221,13891,,HENDERSON WHISKEY,80.0,750,12, 21.41 , 20.35 , 23.99 ,
,321,17712,,HIGH WEST CAMPFIRE,92.0,375,12, 35.70 , 33.92 , 39.99 , NEW 
,321,10932,,HIGH WEST CAMPFIRE,92.0,750,6, 62.49 , 59.37 , 69.99 ,
,321,18260,,HIKERS BLEND WHISKEY,80.0,1000,12, 7.42 , 7.06 , 8.32 , NEW 
,141,17041,,HONOR BRAND HAY & SUNSHINE,92.0,750,6, 37.49 , 35.62 , 41.99 ,
,141,17509,,HOTEL TANGO WHISKEY,90.0,750,6, 26.78 , 25.44 , 29.99 ,
,321,4083,,IMPERIAL,80.0,375,24, 3.12 , 2.95 , 3.48 ,
,321,4087,,IMPERIAL,80.0,750,12, 5.36 , 5.08 , 5.99 ,
,321,96215,,IMPERIAL,80.0,1000,12, 7.12 , 6.75 , 7.96 ,
,321,4088,,IMPERIAL,80.0,1750,6, 11.61 , 11.02 , 12.99 ,
,321,18154,,JAMES OLIVER AMERICAN WHISKY,86.0,750,6, 26.78 , 25.44 , 29.99 , NEW 
,321,17339,,JEFFERSONS CHEFS COLLABORATION,90.0,750,6, 42.86 , 40.70 , 47.99 ,
,321,4400,,KESSLER,80.0,50,120, 0.88 , 0.85 , 1.00 ,
,321,4407,,KESSLER,80.0,750,12, 8.03 , 7.62 , 8.99 ,
,321,4401,,KESSLER,80.0,1000,12, 11.61 , 11.02 , 12.99 ,
,321,4408,,KESSLER,80.0,1750,6, 17.86 , 16.95 , 19.99 ,
,321,4402,,KESSLER PL,80.0,200,48, 2.66 , 2.54 , 2.99 ,
,321,4403,,KESSLER PL,80.0,375,24, 4.89 , 4.66 , 5.49 ,
,321,4417,,KESSLER PL,80.0,750,12, 8.03 , 7.62 , 8.99 ,
,,,,,,,,,,,
AMERICAN BLEND (CONTINUED),,,,,,,,,,,
,,,,,,,,,,,
,321,10221,,KOVAL FOUR GRAIN,94.0,750,6, 46.41 , 44.10 , 51.99 ,
,221,87700,,MCCORMICK BLEND,80.0,1000,12, 7.49 , 7.12 , 8.39 ,
,221,87820,,MCCORMICK BLEND,80.0,1750,6, 12.93 , 12.29 , 14.49 ,
,221,89210,,MCCORMICK BLEND PL,80.0,750,12, 6.34 , 6.01 , 7.09 ,
,221,88920,,NEWPORT BLEND,80.0,750,12, 6.12 , 5.80 , 6.84 ,
,221,5251,,NEWPORT BLEND,80.0,1000,12, 7.39 , 7.03 , 8.29 ,
,221,88990,,NEWPORT BLEND PL,80.0,1750,6, 12.05 , 11.44 , 13.49 ,
,321,15327,,OUTLAW AMERICAN WHISKEY,80.0,750,6, 29.45 , 27.98 , 32.99 ,
,221,6268,,PHILADELPHIA WHITE LABEL PL,80.0,1750,6, 12.89 , 12.26 , 14.45 ,
,321,12441,,REBEL YELL AMERICAN WHISKEY,90.0,750,6, 22.32 , 21.20 , 24.99 ,
,321,17653,,REDNECK RIVIERA WHISKEY,80.0,375,24, 12.49 , 11.87 , 13.99 ,
,321,17541,,REDNECK RIVIERA WHISKEY,80.0,750,6, 22.32 , 21.20 , 24.99 ,
,141,18123,,ROGUE DEAD GUY WHISKEY-2 YR,80.0,750,6, 37.68 , 35.80 , 42.21 , NEW 
,321,84483,,SEAGRAM'S 7 CROWN,80.0,50,120, 0.87 , 0.81 , 0.96 ,
,321,6922,,SEAGRAM'S 7 CROWN,80.0,200,48, 3.54 , 3.36 , 3.96 ,
,321,6923,,SEAGRAM'S 7 CROWN,80.0,375,24, 6.24 , 5.93 , 6.99 , 0.80 
,321,6927,,SEAGRAM'S 7 CROWN,80.0,750,12, 11.61 , 11.02 , 12.99 , 1.00 
,321,6921,,SEAGRAM'S 7 CROWN,80.0,1000,12, 13.37 , 12.69 , 14.96 ,
,321,6928,,SEAGRAM'S 7 CROWN,80.0,1750,6, 21.41 , 20.35 , 23.99 , 1.00 
,321,6947,,SEAGRAM'S 7 CROWN PL,80.0,750,12, 11.61 , 11.02 , 12.99 , 1.00 
,321,73080,,SEAGRAM'S 7 CROWN PL W/7-UP,80.0,1750,3, 21.41 , 20.35 , 23.99 , 1.00 
,321,73413,,SEAGRAM'S 7 CROWN W/2 COASTERS,80.0,1750,6, 21.41 , 20.35 , 23.99 , 1.00 
,321,6289,,SEAGRAM'S 7 CROWN DARK HONEY,71.0,750,12, 11.61 , 11.02 , 12.99 , (3.00)
,221,17252,,SECOND GLANCE AMERICAN WHISKEY,88.0,750,6, 41.25 , 39.19 , 46.20 ,
,321,12765,,SLAUGHTER HOUSE,88.0,750,6, 35.70 , 33.92 , 39.99 ,
,321,16445,,STRAIGHT EDGE,84.0,750,6, 44.62 , 42.37 , 49.96 ,
,221,17253,,THE BURNING CHAIR BOURBON WSKY,88.0,750,6, 55.00 , 52.25 , 61.60 ,
,321,17405,,THREE BINES HOPPED WHISKEY,90.0,750,6, 26.78 , 25.44 , 29.99 ,
,321,17572,,TINCUP,84.0,375,12, 15.16 , 14.41 , 16.99 , NEW 
,321,15667,,TINCUP-10 YR AMERICAN WHISKEY,84.0,750,6, 49.11 , 46.64 , 54.99 ,
,221,17392,,TITLE NO 21 OAK BARREL WHISKEY,80.0,750,6, 25.87 , 24.56 , 28.96 ,
,321,7607,,TRAVELERS CLUB BLEND,80.0,750,12, 6.07 , 5.76 , 6.79 ,
,221,10460,,TRIPLE CROWN,80.0,750,12, 17.86 , 16.95 , 19.99 ,
,221,15629,,TRIPLE CROWN PL,80.0,50,60, 0.87 , 0.81 , 0.96 ,
,321,17654,,WHISKEY 43,80.0,750,12, 39.58 , 37.59 , 44.32 ,
,321,7707,,WILLIAM PENN,80.0,750,12, 5.80 , 5.50 , 6.49 ,
,321,7708,,WILLIAM PENN,80.0,1750,6, 12.49 , 11.87 , 13.99 ,
,321,15056,,YELLOW ROSE AMERICAN WHISKEY,80.0,750,6, 24.98 , 23.73 , 27.98 ,
,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,
,,,,,,,,,,,
,221,6680,,GENTLEMAN JACK,80.0,50,60, 2.66 , 2.54 , 2.99 ,
,221,6498,,GENTLEMAN JACK,80.0,200,24, 8.91 , 8.48 , 9.99 ,
,221,4101,,GENTLEMAN JACK,80.0,375,12, 16.07 , 15.26 , 17.99 ,
,221,8787,,GENTLEMAN JACK,80.0,750,12, 30.36 , 28.83 , 33.99 ,
,221,8168,,GENTLEMAN JACK,80.0,1000,6, 38.37 , 36.44 , 42.96 ,
,221,8788,,GENTLEMAN JACK,80.0,1750,6, 58.03 , 55.12 , 64.99 ,
,221,73545,,GENTLEMAN JACK W/STAINLESS CUP,80.0,750,6, 30.36 , 28.83 , 33.99 , NEW 
,221,73294,,GENTLEMAN JACK W/2 COASTERS,80.0,750,6, 30.36 , 28.83 , 33.99 ,
,221,73379,,GENTLEMAN JACK/2 STAINLESS CUP,80.0,1750,3, 58.03 , 55.12 , 64.99 ,
,221,17698,,GENTLEMAN JACK LIMITED EDITION,86.0,1000,6, 41.07 , 39.01 , 45.99 , NEW 
,321,92080,,GEORGE DICKEL OLD #12,90.0,750,12, 23.20 , 22.05 , 25.99 ,
,321,6739,,GEORGE DICKEL OLD #8,80.0,750,12, 21.41 , 20.35 , 23.99 ,
,321,6741,,GEORGE DICKEL OLD #8,80.0,1750,6, 34.82 , 33.07 , 38.99 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
TENNESSEE (CONTINUED),,,,,,,,,,,
,,,,,,,,,,,
,221,15926,,J DANIELS MASTER DISTILLER 5,86.0,750,12, 22.32 , 21.20 , 24.99 ,
,221,85413,,J DANIELS OLD 7 BLACK (TN),80.0,50,120, 1.78 , 1.69 , 1.99 ,
,221,9124,,J DANIELS OLD 7 BLACK (TN),80.0,100,48, 3.57 , 3.38 , 3.99 ,
,221,9127,,J DANIELS OLD 7 BLACK (TN),80.0,750,12, 22.32 , 21.20 , 24.99 ,
,221,9121,,J DANIELS OLD 7 BLACK (TN),80.0,1000,12, 29.45 , 27.98 , 32.99 ,
,221,9128,,J DANIELS OLD 7 BLACK (TN),80.0,1750,6, 44.62 , 42.37 , 49.96 ,
,221,9122,,J DANIELS OLD 7 BLACK (TN) PL,80.0,200,48, 7.12 , 6.75 , 7.96 ,
,221,9123,,J DANIELS OLD 7 BLACK (TN) PL,80.0,375,24, 12.49 , 11.87 , 13.99 ,
,221,9113,,J DANIELS OLD 7 BLACK (TN) SQR,80.0,375,24, 12.49 , 11.87 , 13.99 ,
,221,72056,,J DANIELS OLD 7 BLK W/COKE,80.0,1750,3, 44.62 , 42.37 , 49.96 ,
,221,71367,,J DANIELS OLD 7 BLK W/GL,80.0,750,6, 22.32 , 21.20 , 24.99 ,
,221,72247,,J DANIELS OLD 7 BLK W/2 GLS,80.0,750,6, 22.32 , 21.20 , 24.99 ,
,221,73380,,J DANIELS OLD 7 BLK/TRAVEL BAG,80.0,1750,6, 44.62 , 42.37 , 49.96 ,
,221,17805,,J DANIELS OLD 7 LEGACY EDITION,86.0,750,12, 24.99 , 23.74 , 27.99 , NEW 
,221,15714,,J DANIELS RED DOG SALOON,86.0,750,12, 24.99 , 23.74 , 27.99 ,
,221,11184,,J DANIELS SINATRA SELECT,90.0,1000,6, 151.78 , 144.19 , 169.99 ,
,221,7674,,J DANIELS SINGLE BARREL,94.0,50,60, 3.12 , 2.95 , 3.48 ,
,221,15593,,J DANIELS SINGLE BARREL,94.0,375,12, 25.87 , 24.56 , 28.96 ,
